id	name	smiles	MolWt	CalcLogP	NumHAcceptors	NumHDonors	NumRotatableBonds	FractionCSP3	NumValenceElectrons	NumHeavyAtoms	RingCount	NumAromaticRings	NumAliphaticRings	NumHeteroatoms	NumHalogens
MUBL871751	added the 06.12.2025	CCCC	58.124	1.8064	0.0	0.0	1.0	1.0	26.0	4.0	0.0	0.0	0.0	0.0	0.0
MUDO047076	molecule	Cc1cc(O)cc(C)c1Cl													
MULG460723	Bombykol	OCCCCCCCCC\C=C\C=C/CCC	238.415	5.11	1.0	1.0	12.0	0.75	100.0	17.0	0.0	0.0	0.0	1.0	0.0
MUSY728399	Tetramethrin	O=C1\C3=C(/C(=O)N1COC(=O)C2C(\C=C(/C)C)C2(C)C)CCCC3	356.15	2.964900000000001	4.1053324	0.0	4.0	0.631578947368421	130.0	24.0	3.0	0.0	3.0	5.0	0.0
MUMX974947	Ethoxyquin	O(c2ccc1c(\C(=C/C(N1)(C)C)C)c2)CC	217.312	3.692700000000003	2.0	1.0	2.0	0.4285714285714285	86.0	16.0	2.0	1.0	1.0	2.0	0.0
MUFR090595	Lead carbonate	C(=O)([O-])[O-].[Pb+2]	267.208	-2.8278	3.0	0.0	0.0	0.0	26.0	5.0	0.0	0.0	0.0	4.0	0.0
MUED935044	Glufosinate	O=P(O)(CCC(C(=O)O)N)C	181.128	-0.3113999999999999	3.0	3.0	4.0	0.8	66.0	11.0	0.0	0.0	0.0	6.0	0.0
MUJT240786	Sodium arsenite	[O-][As]=O.[Na+]	129.91	-4.6846	2.0	0.0	0.0	0.0	18.0	4.0	0.0	0.0	0.0	4.0	0.0
MUBN412772	Sodium dichromate	[Na+].[Na+].[O-][Cr](=O)(=O)O[Cr]([O-])(=O)=O	261.965	-8.918600000000001	7.0	0.0	2.0	0.0	56.0	11.0	0.0	0.0	0.0	11.0	0.0
MUAQ426363	Metalaxyl	COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC	279.336	1.8443400000000003	4.0	0.0	5.0	0.4666666666666667	110.0	20.0	1.0	1.0	0.0	5.0	0.0
MUCW745177	Chlorothalonil	Clc1c(C#N)c(Cl)c(C#N)c(Cl)c1Cl	265.914	4.04356	2.0	0.0	0.0	0.0	70.0	14.0	1.0	1.0	0.0	6.0	4.0
MURT226816	Deltamethrin	N#C[C@H](c1cccc(c1)Oc1ccccc1)OC(=O)[C@@H]1[C@@H](C1(C)C)C=C(Br)Br	505.2060000000001	6.490180000000004	4.0	0.0	6.0	0.2727272727272727	144.0	28.0	3.0	2.0	1.0	6.0	2.0
MUTM558030	Iprodione	O=C2N(c1cc(Cl)cc(Cl)c1)C(=O)CN2C(=O)NC(C)C	330.17100000000005	2.8800000000000017	3.0	1.0	2.0	0.3076923076923077	112.0	21.0	2.0	1.0	1.0	8.0	2.0
MUDF309470	Fenthion	S=P(OC)(OC)Oc1ccc(SC)c(c1)C	278.335	3.6130200000000015	5.0	0.0	5.0	0.4	90.0	16.0	1.0	1.0	0.0	6.0	0.0
MUPO241714	Picaridin	O=C(OC(C)CC)N1C(CCO)CCCC1	229.32	2.1584000000000003	3.0	1.0	4.0	0.9166666666666666	94.0	16.0	1.0	0.0	1.0	4.0	0.0
MUYR876635	Endrin	C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl	380.9129999999999	4.481400000000002	1.0	0.0	0.0	0.8333333333333334	104.0	19.0	5.0	0.0	5.0	7.0	6.0
MULJ268490	Phoxim	CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1	298.304	3.2283800000000014	6.0	0.0	7.0	0.3333333333333333	102.0	19.0	1.0	1.0	0.0	7.0	0.0
MUDX478301	Dichlofenthion	CCOP(=S)(OCC)Oc1cc(Cl)cc(Cl)c1	315.158	4.669700000000003	4.0	0.0	6.0	0.4	96.0	17.0	1.0	1.0	0.0	7.0	2.0
MUYO181144	Zwittermicin A	C([C@H]([C@H](CO)N)O)[C@H]([C@H]([C@H]([C@@H](C(=O)N[C@@H](CNC(=O)N)C(=O)N)O)O)N)O	396.4010000000002	-6.894600000000003	10.0	11.0	12.0	0.7692307692307693	158.0	27.0	0.0	0.0	0.0	14.0	0.0
MUKE550554	Terbuthylazine	Clc1nc(nc(n1)NC(C)(C)C)NCC	229.715	2.1672	5.0	2.0	3.0	0.6666666666666666	84.0	15.0	1.0	1.0	0.0	6.0	1.0
MUAO743291	Bromoxynil	Brc1cc(C#N)cc(Br)c1O	276.915	2.78888	2.0	1.0	0.0	0.0	56.0	11.0	1.0	1.0	0.0	4.0	2.0
MUGO126555	MCPB	CC1=C(C=CC(=C1)Cl)OCCCC(=O)O	228.67499999999995	2.8920200000000005	2.0	1.0	5.0	0.3636363636363636	82.0	15.0	1.0	1.0	0.0	4.0	1.0
MUWE659760	Metsulfuron-methyl	CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC	381.3700000000002	0.4856199999999998	9.0	2.0	5.0	0.2142857142857142	138.0	26.0	2.0	2.0	0.0	12.0	0.0
MUVH241986	2,4-DB	Clc1cc(Cl)ccc1OCCCC(=O)O	249.093	3.237000000000002	2.0	1.0	5.0	0.3	82.0	15.0	1.0	1.0	0.0	5.0	2.0
MUVF193848	Sodium chromate	[O-][Cr](=O)(=O)[O-].[Na+].[Na+]	161.972	-8.610100000000001	4.0	0.0	0.0	0.0	32.0	7.0	0.0	0.0	0.0	7.0	0.0
MUPB894194	Ethyl butylacetylaminopropionate	CCCCN(CCC(=O)OCC)C(=O)C	215.29299999999995	1.5882	3.0	0.0	7.0	0.8181818181818182	88.0	15.0	0.0	0.0	0.0	4.0	0.0
MUWJ387514	Kadethrin	O=C(OCc2cc(Cc1ccccc1)oc2)[C@@H]4[C@H](\C=C3/CCSC3=O)C4(C)C	396.50800000000027	4.775700000000005	5.0	0.0	6.0	0.391304347826087	146.0	28.0	4.0	2.0	2.0	5.0	0.0
MUDI548017	Germicidin	CCC1=C(C=C(OC1=O)[C@@H](C)CC)O	196.24599999999995	2.421300000000001	3.0	1.0	3.0	0.5454545454545454	78.0	14.0	1.0	1.0	0.0	3.0	0.0
MUSD400227	Germicidin	CCC1=C(C=C(OC1=O)C(C)C)O	182.219	2.031200000000001	3.0	1.0	2.0	0.5	72.0	13.0	1.0	1.0	0.0	3.0	0.0
MUDO783091	Germicidin	CCC1=C(C=C(OC1=O)C(C)CC)O	196.24599999999995	2.421300000000001	3.0	1.0	3.0	0.5454545454545454	78.0	14.0	1.0	1.0	0.0	3.0	0.0
MUWG513812	Germicidin	CC1=C(C=C(OC1=O)C(C)C)O	168.19199999999998	1.7772199999999998	3.0	1.0	1.0	0.4444444444444444	66.0	12.0	1.0	1.0	0.0	3.0	0.0
MUSG206236	Tebufenozide	O=C(c1cc(cc(c1)C)C)N(NC(=O)c2ccc(cc2)CC)C(C)(C)C	352.4780000000002	4.451540000000004	2.0	1.0	3.0	0.3636363636363636	138.0	26.0	2.0	2.0	0.0	4.0	0.0
MUCL630349	(Z)-9-Tricosene	C(=C\CCCCCCCCCCCCC)\CCCCCCCC	322.6210000000001	8.9943	0.0	0.0	19.0	0.9130434782608696	138.0	23.0	0.0	0.0	0.0	0.0	0.0
MUWB533072	Dimethyl phosphorochloridothioate	ClP(=O)(OC)SC	160.56199999999998	2.3427	3.0	0.0	2.0	1.0	44.0	7.0	0.0	0.0	0.0	5.0	1.0
MUNG766897	Dimetilan	O=C(n1nc(OC(=O)N(C)C)cc1C)N(C)C	240.263	0.78162	5.0	0.0	1.0	0.5	94.0	17.0	1.0	1.0	0.0	7.0	0.0
