id	name	smiles	MolWt	CalcLogP	TPSA	NumHAcceptors	NumHDonors	NumRotatableBonds	FractionCSP3	NumValenceElectrons	NumHeavyAtoms	RingCount	NumAromaticRings	NumAliphaticRings	NumHeteroatoms	NumHalogens
MUAM877419	Ammonia	N	17.031	0.16199999999999998	35.0	1	1	0	0.0	8	1	0	0	0	1	0
MUFG208091	Aspirin	O=C(C)Oc1ccccc1C(=O)O	180.15899999999996	1.3101	63.60000000000001	3	1	2	0.1111111111111111	68	13	1	1	0	4	0
MUJN820284	Acetylene	C#C	26.037999999999997	0.24939999999999998	0.0	0	0	0	0.0	10	2	0	0	0	0	0
MUWW580004	Adenosine triphosphate	O=P(O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n2cnc1c(ncnc12)N)[C@H](O)[C@@H]3O	507.18200000000024	-1.6290000000000004	279.13	14	7	8	0.5	174	31	3	2	1	21	0
MUCE923159	Ampicillin	CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C	349.4120000000001	0.3180999999999994	112.73	5	3	4	0.4375	128	24	3	1	2	8	0
MULH394936	Chemistry of ascorbic acid	C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O	176.124	-1.4073999999999995	107.22000000000001	6	4	2	0.5	68	12	1	0	1	6	0
MUSB292823	Chemistry of ascorbic acid	OC=1C(OC(=O)C=1O)[C@@H](O)CO	176.12399999999997	-1.4074	107.22000000000001	6	4	2	0.5	68	12	1	0	1	6	0
MUNK962219	Amphetamine	NC(C)Cc1ccccc1	135.20999999999998	1.5762999999999998	26.02	1	1	2	0.3333333333333333	54	10	1	1	0	1	0
MULK358627	Aspartame	O=C(O)C[C@H](N)C(=O)N[C@H](C(=O)OC)Cc1ccccc1	294.307	-0.3110999999999995	118.71999999999998	5	3	7	0.35714285714285715	114	21	1	1	0	7	0
MUQE867162	Amoxicillin	O=C(O)[C@@H]2N3C(=O)[C@@H](NC(=O)[C@@H](c1ccc(O)cc1)N)[C@H]3SC2(C)C	365.4110000000001	0.02370000000000072	132.96	6	4	4	0.4375	134	25	3	1	2	9	0
MUDB160563	Amyl nitrite	CC(C)CCON=O	117.148	1.7305	38.66	3	0	4	1.0	48	8	0	0	0	3	0
